,user_id,act_timestamp,act_type
0,83401,2019-01-23,Add_Flavour
1,83401,2019-01-23,Select_Category
2,91888,2019-01-14,Add_Flavour
3,55010,2019-01-13,Add_Flavour
4,55010,2019-01-19,Select_Category
5,27708,2019-01-22,Add_Flavour
6,82541,2019-01-30,Add_Flavour
7,39955,2019-01-11,Add_Flavour
8,99156,2019-01-28,Add_Flavour
9,97058,2019-01-20,Add_Flavour
10,97058,2019-01-20,Select_Category
11,59649,2019-01-27,Add_Flavour
12,59748,2019-01-27,Add_Flavour
13,59748,2019-02-09,Select_Category
14,90905,2019-01-19,Add_Flavour
15,90905,2019-01-21,Select_Category
16,73890,2019-01-22,Add_Flavour
17,38651,2019-01-08,Add_Flavour
18,38651,2019-01-08,Select_Category
19,95552,2019-01-31,Add_Flavour
20,95552,2019-02-03,Select_Category
21,75212,2019-01-26,Add_Flavour
22,46829,2019-01-23,Add_Flavour
23,46829,2019-01-24,Select_Category
24,12325,2019-01-16,Add_Flavour
25,40914,2019-02-08,Add_Flavour
26,60092,2019-01-24,Add_Flavour
27,7149,2019-01-18,Add_Flavour
28,7149,2019-02-01,Select_Category
29,67059,2019-01-19,Add_Flavour
30,67059,2019-01-25,Select_Category
31,51979,2019-01-26,Add_Flavour
32,51979,2019-02-04,Select_Category
33,55966,2019-01-30,Add_Flavour
34,46915,2019-02-02,Add_Flavour
35,12626,2019-01-21,Add_Flavour
36,61559,2019-01-18,Add_Flavour
37,61559,2019-01-19,Select_Category
38,58613,2019-01-20,Add_Flavour
39,58613,2019-01-25,Select_Category
40,55310,2019-02-04,Add_Flavour
41,49070,2019-01-20,Add_Flavour
42,49070,2019-01-21,Select_Category
43,21203,2019-02-05,Add_Flavour
44,21203,2019-02-07,Select_Category
45,75604,2019-01-24,Add_Flavour
46,42474,2019-01-25,Add_Flavour
47,44377,2019-01-15,Add_Flavour
48,44377,2019-02-01,Select_Category
49,53120,2019-01-24,Add_Flavour
50,53120,2019-01-31,Select_Category
51,51290,2019-02-04,Add_Flavour
52,23816,2019-01-29,Add_Flavour
53,23816,2019-01-31,Select_Category
54,69912,2019-01-20,Add_Flavour
